subj,phase,metric,value
2,OFFSET,Delta_neg,0.5695069176876072
2,OFFSET,Delta_pos,-0.271426695231507
2,OFFSET,Delta_sep,-0.8409336129191142
2,ONSET,Delta_neg,0.5899021638350507
2,ONSET,Delta_pos,0.016857347383948174
2,ONSET,Delta_sep,-0.5730448164511025
3,OFFSET,Delta_neg,0.7535442268767176
3,OFFSET,Delta_pos,0.03807471741108359
3,OFFSET,Delta_sep,-0.715469509465634
3,ONSET,Delta_neg,0.3012961880960501
3,ONSET,Delta_pos,-0.3328267624487893
3,ONSET,Delta_sep,-0.6341229505448394
4,OFFSET,Delta_neg,0.4099338615377278
4,OFFSET,Delta_pos,-0.27547093137678696
4,OFFSET,Delta_sep,-0.6854047929145148
4,ONSET,Delta_neg,0.4149533663119218
4,ONSET,Delta_pos,-0.4597678681004982
4,ONSET,Delta_sep,-0.87472123441242
5,OFFSET,Delta_neg,0.3517966931304055
5,OFFSET,Delta_pos,-0.17863727405037738
5,OFFSET,Delta_sep,-0.530433967180783
5,ONSET,Delta_neg,-0.3190637896542341
5,ONSET,Delta_pos,-1.0260504663337306
5,ONSET,Delta_sep,-0.7069866766794966
6,OFFSET,Delta_neg,0.7230601788914564
6,OFFSET,Delta_pos,-0.009496694619049673
6,OFFSET,Delta_sep,-0.732556873510506
6,ONSET,Delta_neg,0.6049791478622286
6,ONSET,Delta_pos,-0.2711664724642783
6,ONSET,Delta_sep,-0.8761456203265069
7,OFFSET,Delta_neg,0.4877305421494077
7,OFFSET,Delta_pos,-0.031423140174790976
7,OFFSET,Delta_sep,-0.5191536823241987
7,ONSET,Delta_neg,0.10878640050216282
7,ONSET,Delta_pos,-0.3753762183030219
7,ONSET,Delta_sep,-0.48416261880518474
8,OFFSET,Delta_neg,-0.007254326524288146
8,OFFSET,Delta_pos,-0.15804007880863463
8,OFFSET,Delta_sep,-0.15078575228434649
8,ONSET,Delta_neg,-0.13347697848025664
8,ONSET,Delta_pos,-0.36031751955869346
8,ONSET,Delta_sep,-0.22684054107843682
9,OFFSET,Delta_neg,0.15138743307466074
9,OFFSET,Delta_pos,-0.1251505817463165
9,OFFSET,Delta_sep,-0.27653801482097723
9,ONSET,Delta_neg,-0.11500916390608928
9,ONSET,Delta_pos,-0.4101906540988773
9,ONSET,Delta_sep,-0.295181490192788
